global_rank,continent_rank,score,antidiscrimination_legislation,marriage_civil_partners,adoption_allowed,transgender_rights,intersex_3rd_option,equal_age_of_consent,conversion_therapy,lgbt_marketing,religious_influence,hiv_travel_restrictions,anti_gay_laws,homossexuality_illegal,pride_banned,locals_hostile,prosecution,murders,death_sentences,continent_id,region_id
19,6,-5,0,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,c0,c0r25
19,6,-5,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,c0,c0r30
19,6,-5,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,c0,c0r36
19,6,-5,1,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,c0,c0r41
20,7,-6,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,-2,0,0,0,c0,c0r19
20,7,-6,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,c0,c0r22
21,8,-7,1,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,0,-1,0,0,c0,c0r32
21,8,-7,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,0,0,0,0,c0,c0r35
22,9,-8,0,-1,0,0,-1,0,-1,0,-2,0,-1,0,0,-2,0,0,0,c0,c0r4
22,9,-8,0,-1,0,-1,-1,0,-1,0,-2,0,0,0,0,-2,0,0,0,c0,c0r15
23,10,-9,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,0,c0,c0r5
23,10,-9,0,-1,0,0,-1,-1,-1,0,-1,0,0,0,0,-2,0,-2,0,c0,c0r28
23,10,-9,0,-1,0,-1,-1,0,-1,0,-2,0,-1,0,0,-2,0,0,0,c0,c0r39
24,11,-10,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-1,-1,0,0,c0,c0r0
24,11,-10,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,0,0,0,c0,c0r8
24,11,-10,0,-1,0,-1,-1,0,-1,0,-2,0,-1,0,0,-2,-1,0,0,c0,c0r12
24,11,-10,0,-1,-1,-1,-1,0,-1,0,-2,0,0,0,0,-2,-1,0,0,c0,c0r13
24,11,-10,0,-1,-1,0,-1,0,-1,0,-1,0,-1,-1,0,-2,-1,0,0,c0,c0r24
24,11,-10,0,-1,0,-1,-1,-1,-1,0,-2,0,-1,0,0,-2,0,0,0,c0,c0r11
24,11,-10,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,-2,0,0,0,c0,c0r42
24,11,-10,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-2,-1,0,0,c0,c0r47
24,11,-10,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,0,-1,0,c0,c0r48
24,11,-10,0,-1,0,0,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c0,c0r50
25,12,-11,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c0,c0r9
25,12,-11,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c0,c0r10
25,12,-11,0,-1,0,0,-1,0,-1,0,-2,0,-1,-1,0,-2,0,-2,0,c0,c0r17
25,12,-11,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c0,c0r20
25,12,-11,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c0,c0r21
25,12,-11,0,-1,-1,-1,-1,-1,-1,0,-2,0,-1,0,0,-2,0,0,0,c0,c0r23
